operation,precondition,-----,etc--,etcs-,etc-u,etcsu,et-s-,et--u,et-su,e---u
write_note,Blind,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok
write_note,Absent,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
write_note,Head,N/A,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,N/A,N/A,N/A,N/A
write_note,Index,N/A,N/A,Ok,N/A,ConcurrencyError,Ok,N/A,ConcurrencyError,N/A
write_note,Workdir,N/A,SKIP:Head,SKIP:Index,Ok,Ok,SKIP:Index,Ok,Ok,Ok
write_note,Wrong,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
edit_note,Exists,NoFile,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
edit_note,Head,N/A,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,N/A,N/A,N/A,N/A
edit_note,Index,N/A,N/A,Ok,N/A,ConcurrencyError,Ok,N/A,ConcurrencyError,N/A
edit_note,Workdir,N/A,SKIP:Head,SKIP:Index,Ok,Ok,SKIP:Index,Ok,Ok,Ok
edit_note,Wrong,NoFile,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
delete_note,Exists,Ok,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
delete_note,Head,N/A,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,N/A,N/A,N/A,N/A
delete_note,Index,N/A,N/A,Ok,N/A,ConcurrencyError,Ok,N/A,ConcurrencyError,N/A
delete_note,Workdir,N/A,SKIP:Head,SKIP:Index,Ok,Ok,SKIP:Index,Ok,Ok,Ok
delete_note,Wrong,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
update_frontmatter,Exists,NoFile,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
update_frontmatter,Head,N/A,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,N/A,N/A,N/A,N/A
update_frontmatter,Index,N/A,N/A,Ok,N/A,ConcurrencyError,Ok,N/A,ConcurrencyError,N/A
update_frontmatter,Workdir,N/A,SKIP:Head,SKIP:Index,Ok,Ok,SKIP:Index,Ok,Ok,Ok
update_frontmatter,Wrong,NoFile,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
manage_tags,Exists,NoFile,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
manage_tags,Head,N/A,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,N/A,N/A,N/A,N/A
manage_tags,Index,N/A,N/A,Ok,N/A,ConcurrencyError,Ok,N/A,ConcurrencyError,N/A
manage_tags,Workdir,N/A,SKIP:Head,SKIP:Index,Ok,Ok,SKIP:Index,Ok,Ok,Ok
manage_tags,Wrong,NoFile,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
create_from_template,Blind,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok
create_from_template,Absent,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
move_note | src,Exists,NoFile,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
move_note | src,Head,N/A,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,N/A,N/A,N/A,N/A
move_note | src,Index,N/A,N/A,Ok,N/A,ConcurrencyError,Ok,N/A,ConcurrencyError,N/A
move_note | src,Workdir,N/A,SKIP:Head,SKIP:Index,Ok,Ok,SKIP:Index,Ok,Ok,Ok
move_note | src,Wrong,NoFile,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
move_note | dest,Blind,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok
move_note | dest,Absent,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
move_note | dest,Head,N/A,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,N/A,N/A,N/A,N/A
move_note | dest,Index,N/A,N/A,Ok,N/A,ConcurrencyError,Ok,N/A,ConcurrencyError,N/A
move_note | dest,Workdir,N/A,SKIP:Head,SKIP:Index,Ok,Ok,SKIP:Index,Ok,Ok,Ok
move_note | dest,Wrong,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
,,,,,,,,,,
,,,,,,,,,,
OUTCOME CODES (harness::Outcome),,,,,,,,,,
Ok,write/edit/delete succeeds and materializes,,,,,,,,,
ConcurrencyError,refused with no disk change (the unified DIRTY_ERR + CAS_FAIL),,,,,,,,,
NoFile,in-place op on an absent target (FileNotFound),,,,,,,,,
